modelo,season,umbral_edge,apuestas,overs,unders,edge_promedio,aciertos,accuracy,apuestas_roi,profit,roi
total_sin_mercado,2024,6.0,30,18,12,8.02786927222132,12,0.4,30,-7.155242905242905,-0.23850809684143018
total_sin_mercado,2024,7.0,19,14,5,8.917763879095974,8,0.42105263157894735,19,-3.7591390091390093,-0.19784942153363208
total_sin_mercado,2025,0.0,272,171,101,3.637050645939245,133,0.4889705882352941,272,-18.24979776045059,-0.06709484470753893
total_sin_mercado,2025,1.0,216,141,75,4.453517472239882,102,0.4722222222222222,216,-21.266277521034986,-0.09845498852331012
total_sin_mercado,2025,2.0,180,118,62,5.042015516084658,83,0.46111111111111114,180,-21.31882434237326,-0.11843791301318479
total_sin_mercado,2025,3.0,140,92,48,5.7838627159858005,64,0.45714285714285713,140,-17.42547326129189,-0.12446766615208493
total_sin_mercado,2025,4.0,96,68,28,6.8116352241835605,45,0.46875,96,-9.7216806353635,-0.10126750661836979
total_sin_mercado,2025,5.0,69,51,18,7.718021777631514,34,0.4927536231884058,69,-3.7817952389563643,-0.054808626651541514
total_sin_mercado,2025,6.0,54,42,12,8.356835828144476,25,0.46296296296296297,54,-5.9798367304761175,-0.11073771723103921
total_sin_mercado,2025,7.0,38,28,10,9.110536362947128,14,0.3684210526315789,38,-11.150698004278569,-0.2934394211652255
total_sin_mercado,2026,0.0,32,20,12,4.189913103526079,13,0.40625,32,-7.2409323830169985,-0.2262791369692812
total_sin_mercado,2026,1.0,25,14,11,5.2346844788422375,9,0.36,25,-7.87073021894644,-0.3148292087578576
total_sin_mercado,2026,2.0,21,12,9,5.941820964372984,8,0.38095238095238093,21,-5.740295436337744,-0.27334740173036876
total_sin_mercado,2026,3.0,20,11,9,6.107208140957492,7,0.35,20,-6.609860653729049,-0.33049303268645247
total_sin_mercado,2026,4.0,16,10,6,6.715126275139095,4,0.25,16,-8.337133381001776,-0.521070836312611
total_sin_mercado,2026,5.0,12,8,4,7.499921501761032,4,0.3333333333333333,12,-4.337133381001776,-0.36142778175014795
total_sin_mercado,2026,6.0,10,7,3,7.916248873902868,3,0.3,10,-4.18459100812042,-0.418459100812042
total_sin_mercado,2026,7.0,6,6,0,9.016671061964578,2,0.3333333333333333,6,-2.0936819172113292,-0.3489469862018882
