game_id,season,week,gameday,away_team,home_team,total_points,total_line,over_odds,under_odds,modelo,pred_total,error,error_absoluto,over_result,push_total,edge,edge_absoluto,prob_over,prob_under,pick,prob_pick,pick_correcto,odds_pick,decimal_pick,prob_break_even,edge_probabilidad,ev,profit
2024_01_BAL_KC,2024,1,2024-09-05,BAL,KC,47.0,46.0,-110.0,-110.0,total_con_mercado,40.844616680319874,-6.155383319680126,6.155383319680126,1,0.0,-5.155383319680126,5.155383319680126,0.5055138783146469,0.4944861216853531,UNDER,0.4944861216853531,False,-110.0,1.9090909090909092,0.5238095238095238,-0.029323402124170728,-0.05598104041887131,-1.0
2024_01_GB_PHI,2024,1,2024-09-06,GB,PHI,63.0,49.5,-108.0,-112.0,total_con_mercado,51.59373677800094,-11.406263221999062,11.406263221999062,1,0.0,2.093736778000938,2.093736778000938,0.5493121372354376,0.4506878627645624,OVER,0.5493121372354376,True,-108.0,1.925925925925926,0.5192307692307692,0.03008136800466843,0.05793448652750954,0.925925925925926
2024_01_ARI_BUF,2024,1,2024-09-08,ARI,BUF,62.0,46.0,-108.0,-112.0,total_con_mercado,44.847340379327264,-17.152659620672736,17.152659620672736,1,0.0,-1.1526596206727362,1.1526596206727362,0.5297515372034229,0.47024846279657706,UNDER,0.47024846279657706,False,-112.0,1.8928571428571428,0.5283018867924528,-0.058053423995875764,-0.10988683827790768,-1.0
2024_01_CAR_NO,2024,1,2024-09-08,CAR,NO,57.0,41.5,-108.0,-112.0,total_con_mercado,45.860224075518886,-11.139775924481114,11.139775924481114,1,0.0,4.360224075518886,4.360224075518886,0.5628822855073481,0.4371177144926519,OVER,0.5628822855073481,True,-108.0,1.925925925925926,0.5192307692307692,0.04365151627657893,0.08406958690304078,0.925925925925926
2024_01_DAL_CLE,2024,1,2024-09-08,DAL,CLE,50.0,42.0,-112.0,-108.0,total_con_mercado,36.42870285142736,-13.57129714857264,13.57129714857264,1,0.0,-5.57129714857264,5.57129714857264,0.5029919536063356,0.49700804639366436,UNDER,0.49700804639366436,False,-108.0,1.925925925925926,0.5192307692307692,-0.022222722837104802,-0.042799318056646385,-1.0
2024_01_DEN_SEA,2024,1,2024-09-08,DEN,SEA,46.0,42.0,-112.0,-108.0,total_con_mercado,43.52619992235644,-2.47380007764356,2.47380007764356,1,0.0,1.5261999223564402,1.5261999223564402,0.5459017925779105,0.4540982074220895,OVER,0.5459017925779105,True,-112.0,1.8928571428571428,0.5283018867924528,0.01759990578545767,0.033314107379616154,0.8928571428571428
2024_01_HOU_IND,2024,1,2024-09-08,HOU,IND,56.0,49.0,-108.0,-112.0,total_con_mercado,51.273722488517485,-4.726277511482515,4.726277511482515,1,0.0,2.2737224885174854,2.2737224885174854,0.5503927248816488,0.4496072751183512,OVER,0.5503927248816488,True,-108.0,1.925925925925926,0.5192307692307692,0.031161955650879647,0.060015618290582884,0.925925925925926
2024_01_JAX_MIA,2024,1,2024-09-08,JAX,MIA,37.0,49.5,-108.0,-112.0,total_con_mercado,51.77228658598134,14.77228658598134,14.77228658598134,0,0.0,2.272286585981341,2.272286585981341,0.5503841059620421,0.4496158940379579,OVER,0.5503841059620421,False,-108.0,1.925925925925926,0.5192307692307692,0.031153336731272963,0.059999018889858924,-1.0
2024_01_LA_DET,2024,1,2024-09-08,LA,DET,46.0,54.0,-108.0,-112.0,total_con_mercado,55.53502135392114,9.535021353921138,9.535021353921138,0,0.0,1.5350213539211381,1.5350213539211381,0.5459548346156702,0.4540451653843298,OVER,0.5459548346156702,False,-108.0,1.925925925925926,0.5192307692307692,0.02672406538490102,0.05146857037092034,-1.0
2024_01_LV_LAC,2024,1,2024-09-08,LV,LAC,32.0,41.0,-112.0,-108.0,total_con_mercado,38.66604749892248,6.666047498922474,6.666047498922474,0,0.0,-2.333952501077519,2.333952501077519,0.5226079074459529,0.47739209255404713,UNDER,0.47739209255404713,True,-108.0,1.925925925925926,0.5192307692307692,-0.04183867667672203,-0.08057819211813144,0.925925925925926
