game_id,season,week,gameday,away_team,home_team,total_points,total_line,over_odds,under_odds,modelo,pred_total,error,error_absoluto,over_result,push_total,edge,edge_absoluto,pick,pick_correcto,prob_pick,prob_over,prob_under,odds_pick,decimal_pick,prob_break_even,edge_probabilidad,ev,profit
2024_01_BAL_KC,2024,1,2024-09-05,BAL,KC,47.0,46.0,-110.0,-110.0,total_con_mercado,40.844616680319874,-6.155383319680126,6.155383319680126,1,0.0,-5.155383319680126,5.155383319680126,UNDER,0,0.5475213323752168,0.45247866762478317,0.5475213323752168,-110.0,1.9090909090909092,0.5238095238095238,0.023711808565692993,0.04526799817086857,-1.0
2024_01_GB_PHI,2024,1,2024-09-06,GB,PHI,63.0,49.5,-108.0,-112.0,total_con_mercado,51.59373677800094,-11.406263221999062,11.406263221999062,1,0.0,2.093736778000938,2.093736778000938,OVER,1,0.49844658368478156,0.49844658368478156,0.5015534163152184,-108.0,1.925925925925926,0.5192307692307692,-0.0207841855459876,-0.04002880179227253,0.925925925925926
2024_01_ARI_BUF,2024,1,2024-09-08,ARI,BUF,62.0,46.0,-108.0,-112.0,total_con_mercado,44.847340379327264,-17.152659620672736,17.152659620672736,1,0.0,-1.1526596206727362,1.1526596206727362,UNDER,0,0.483324134637712,0.516675865362288,0.48332413463771196,-112.0,1.8928571428571428,0.5283018867924528,-0.04497775215474081,-0.08513645943575943,-1.0
2024_01_CAR_NO,2024,1,2024-09-08,CAR,NO,57.0,41.5,-108.0,-112.0,total_con_mercado,45.860224075518886,-11.139775924481114,11.139775924481114,1,0.0,4.360224075518886,4.360224075518886,OVER,1,0.5348258450566195,0.5348258450566195,0.46517415494338055,-108.0,1.925925925925926,0.5192307692307692,0.01559507582585029,0.03003496084978563,0.925925925925926
2024_01_DAL_CLE,2024,1,2024-09-08,DAL,CLE,50.0,42.0,-112.0,-108.0,total_con_mercado,36.42870285142736,-13.57129714857264,13.57129714857264,1,0.0,-5.57129714857264,5.57129714857264,UNDER,0,0.5541383066250866,0.44586169337491344,0.5541383066250866,-108.0,1.925925925925926,0.5192307692307692,0.0349075373943174,0.06722933127794462,-1.0
2024_01_DEN_SEA,2024,1,2024-09-08,DEN,SEA,46.0,42.0,-112.0,-108.0,total_con_mercado,43.52619992235644,-2.47380007764356,2.47380007764356,1,0.0,1.5261999223564402,1.5261999223564402,OVER,1,0.48932455427697746,0.48932455427697746,0.5106754457230225,-112.0,1.8928571428571428,0.5283018867924528,-0.03897733251547536,-0.07377852226143555,0.8928571428571428
2024_01_HOU_IND,2024,1,2024-09-08,HOU,IND,56.0,49.0,-108.0,-112.0,total_con_mercado,51.273722488517485,-4.726277511482515,4.726277511482515,1,0.0,2.2737224885174854,2.2737224885174854,OVER,1,0.5013400018278116,0.5013400018278116,0.4986599981721884,-108.0,1.925925925925926,0.5192307692307692,-0.017890767402957586,-0.034456292776066544,0.925925925925926
2024_01_JAX_MIA,2024,1,2024-09-08,JAX,MIA,37.0,49.5,-108.0,-112.0,total_con_mercado,51.77228658598134,14.77228658598134,14.77228658598134,0,0.0,2.272286585981341,2.272286585981341,OVER,0,0.5013169186125295,0.5013169186125295,0.49868308138747053,-108.0,1.925925925925926,0.5192307692307692,-0.01791385061823969,-0.03450074933883207,-1.0
2024_01_LA_DET,2024,1,2024-09-08,LA,DET,46.0,54.0,-108.0,-112.0,total_con_mercado,55.53502135392114,9.535021353921138,9.535021353921138,0,0.0,1.5350213539211381,1.5350213539211381,OVER,0,0.4894663026458159,0.4894663026458159,0.5105336973541841,-108.0,1.925925925925926,0.5192307692307692,-0.029764466584953242,-0.05732415786731748,-1.0
2024_01_LV_LAC,2024,1,2024-09-08,LV,LAC,32.0,41.0,-112.0,-108.0,total_con_mercado,38.66604749892248,6.666047498922474,6.666047498922474,0,0.0,-2.333952501077519,2.333952501077519,UNDER,1,0.5023082383111931,0.4976917616888069,0.5023082383111931,-108.0,1.925925925925926,0.5192307692307692,-0.016922530919576073,-0.03259154103029471,0.925925925925926
2024_01_MIN_NYG,2024,1,2024-09-08,MIN,NYG,34.0,42.5,-112.0,-108.0,total_con_mercado,39.52008077125394,5.520080771253937,5.520080771253937,0,0.0,-2.9799192287460627,2.9799192287460627,UNDER,1,0.5126900041408156,0.48730999585918444,0.5126900041408156,-108.0,1.925925925925926,0.5192307692307692,-0.006540765089953604,-0.012597029062132892,0.925925925925926
2024_01_NE_CIN,2024,1,2024-09-08,NE,CIN,26.0,40.5,-108.0,-112.0,total_con_mercado,44.685380720077816,18.685380720077816,18.685380720077816,0,0.0,4.185380720077816,4.185380720077816,OVER,0,0.5320276563693489,0.5320276563693489,0.4679723436306511,-108.0,1.925925925925926,0.5192307692307692,0.012796887138579738,0.024645856711338787,-1.0
2024_01_PIT_ATL,2024,1,2024-09-08,PIT,ATL,28.0,43.0,-105.0,-115.0,total_con_mercado,42.39078748751791,14.390787487517912,14.390787487517912,0,0.0,-0.6092125124820882,0.6092125124820882,UNDER,1,0.4746034384110096,0.5253965615889904,0.4746034384110096,-115.0,1.8695652173913042,0.5348837209302326,-0.060280282519223016,-0.11269791949246033,0.8695652173913042
2024_01_TEN_CHI,2024,1,2024-09-08,TEN,CHI,41.0,43.0,-110.0,-110.0,total_con_mercado,40.83661562312149,-0.1633843768785112,0.1633843768785112,0,0.0,-2.1633843768785113,2.1633843768785113,UNDER,1,0.4995662243339195,0.5004337756660805,0.4995662243339195,-110.0,1.9090909090909092,0.5238095238095238,-0.02424329947560433,-0.0462826626352445,0.9090909090909092
