game_id,season,week,gameday,away_team,home_team,total_points,total_line,over_odds,under_odds,modelo,pred_total,error,error_absoluto,over_result,push_total
2024_03_CAR_LV,2024,3,2024-09-22,CAR,LV,58.0,40.0,-112.0,-108.0,total_sin_mercado,45.541372398909544,-12.458627601090456,12.458627601090456,1.0,0.0
2024_03_CHI_IND,2024,3,2024-09-22,CHI,IND,37.0,43.0,-115.0,-105.0,total_sin_mercado,39.38594221477888,2.385942214778879,2.385942214778879,0.0,0.0
2024_03_DEN_TB,2024,3,2024-09-22,DEN,TB,33.0,40.5,-112.0,-108.0,total_sin_mercado,44.89368647979076,11.893686479790759,11.893686479790759,0.0,0.0
2024_03_DET_ARI,2024,3,2024-09-22,DET,ARI,33.0,51.5,-108.0,-112.0,total_sin_mercado,49.01514704324026,16.015147043240262,16.015147043240262,0.0,0.0
2024_03_GB_TEN,2024,3,2024-09-22,GB,TEN,44.0,37.0,-112.0,-108.0,total_sin_mercado,38.79692723760338,-5.203072762396623,5.203072762396623,1.0,0.0
2024_03_HOU_MIN,2024,3,2024-09-22,HOU,MIN,41.0,46.0,-112.0,-108.0,total_sin_mercado,43.54722826404027,2.547228264040271,2.547228264040271,0.0,0.0
2024_03_KC_ATL,2024,3,2024-09-22,KC,ATL,39.0,46.0,-112.0,-108.0,total_sin_mercado,45.380531015006575,6.380531015006575,6.380531015006575,0.0,0.0
2024_03_LAC_PIT,2024,3,2024-09-22,LAC,PIT,30.0,36.0,-105.0,-115.0,total_sin_mercado,41.131311771817,11.131311771817003,11.131311771817003,0.0,0.0
2024_03_MIA_SEA,2024,3,2024-09-22,MIA,SEA,27.0,41.5,-110.0,-110.0,total_sin_mercado,51.66415595794591,24.66415595794591,24.66415595794591,0.0,0.0
2024_03_NYG_CLE,2024,3,2024-09-22,NYG,CLE,36.0,38.0,-112.0,-108.0,total_sin_mercado,46.64213320403847,10.642133204038473,10.642133204038473,0.0,0.0
2024_03_PHI_NO,2024,3,2024-09-22,PHI,NO,27.0,49.0,-110.0,-110.0,total_sin_mercado,54.017556217667355,27.017556217667355,27.017556217667355,0.0,0.0
2024_03_SF_LA,2024,3,2024-09-22,SF,LA,51.0,44.5,-110.0,-110.0,total_sin_mercado,43.88068568138487,-7.119314318615132,7.119314318615132,1.0,0.0
2024_03_JAX_BUF,2024,3,2024-09-23,JAX,BUF,57.0,46.5,-110.0,-110.0,total_sin_mercado,49.83606155811524,-7.16393844188476,7.16393844188476,1.0,0.0
2024_03_WAS_CIN,2024,3,2024-09-23,WAS,CIN,71.0,46.0,-108.0,-112.0,total_sin_mercado,45.063150782169245,-25.936849217830755,25.936849217830755,1.0,0.0
2024_04_DAL_NYG,2024,4,2024-09-26,DAL,NYG,35.0,45.0,-108.0,-112.0,total_sin_mercado,44.78764349341926,9.78764349341926,9.78764349341926,0.0,0.0
2024_04_BUF_BAL,2024,4,2024-09-29,BUF,BAL,45.0,46.5,-110.0,-110.0,total_sin_mercado,46.79970657964159,1.7997065796415868,1.7997065796415868,0.0,0.0
2024_04_CIN_CAR,2024,4,2024-09-29,CIN,CAR,58.0,47.0,-112.0,-108.0,total_sin_mercado,45.009256618343755,-12.990743381656245,12.990743381656245,1.0,0.0
2024_04_CLE_LV,2024,4,2024-09-29,CLE,LV,36.0,36.5,-112.0,-108.0,total_sin_mercado,48.56033024563588,12.560330245635882,12.560330245635882,0.0,0.0
2024_04_DEN_NYJ,2024,4,2024-09-29,DEN,NYJ,19.0,39.5,-108.0,-112.0,total_sin_mercado,39.52101421357666,20.521014213576663,20.521014213576663,0.0,0.0
